"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","EMP","TOT","PC_WKGPOP","M","2020-07",65.59259,
"KOR","EMP","TOT","PC_WKGPOP","M","2020-08",65.92094,
"KOR","EMP","TOT","PC_WKGPOP","M","2020-09",65.5652,
"KOR","EMP","TOT","PC_WKGPOP","M","2020-10",65.57792,
"KOR","EMP","TOT","PC_WKGPOP","M","2020-11",65.78835,
"KOR","EMP","TOT","PC_WKGPOP","M","2020-12",65.44901,
"USA","EMP","TOT","PC_WKGPOP","M","2019-11",71.65794,
"USA","EMP","TOT","PC_WKGPOP","M","2019-12",71.65895,
"USA","EMP","TOT","PC_WKGPOP","M","2020-01",71.69645,
"USA","EMP","TOT","PC_WKGPOP","M","2020-02",71.71245,
"USA","EMP","TOT","PC_WKGPOP","M","2020-03",70.59724,
"USA","EMP","TOT","PC_WKGPOP","M","2020-04",60.2486,
"USA","EMP","TOT","PC_WKGPOP","M","2020-05",62.28892,
"USA","EMP","TOT","PC_WKGPOP","M","2020-06",64.7056,
"USA","EMP","TOT","PC_WKGPOP","M","2020-07",65.53145,
"USA","EMP","TOT","PC_WKGPOP","M","2020-08",66.82835,
"USA","EMP","TOT","PC_WKGPOP","M","2020-09",66.94179,
"USA","EMP","TOT","PC_WKGPOP","M","2020-10",67.79301,
"USA","EMP","TOT","PC_WKGPOP","M","2020-11",67.83084,
"USA","EMP","TOT","PC_WKGPOP","M","2020-12",67.97013,
"USA","EMP","TOT","PC_WKGPOP","M","2021-01",68.13791,
"CHL","EMP","TOT","PC_WKGPOP","M","2019-11",63.8694,
"CHL","EMP","TOT","PC_WKGPOP","M","2019-12",63.89621,
"CHL","EMP","TOT","PC_WKGPOP","M","2020-01",63.72048,
"CHL","EMP","TOT","PC_WKGPOP","M","2020-02",63.30029,
"CHL","EMP","TOT","PC_WKGPOP","M","2020-03",58.45924,
"CHL","EMP","TOT","PC_WKGPOP","M","2020-04",53.19357,
"CHL","EMP","TOT","PC_WKGPOP","M","2020-05",51.22786,
"CHL","EMP","TOT","PC_WKGPOP","M","2020-06",50.95806,
"CHL","EMP","TOT","PC_WKGPOP","M","2020-07",51.68789,
"CHL","EMP","TOT","PC_WKGPOP","M","2020-08",52.5883,
"CHL","EMP","TOT","PC_WKGPOP","M","2020-09",54.47439,
"CHL","EMP","TOT","PC_WKGPOP","M","2020-10",55.84533,
"CHL","EMP","TOT","PC_WKGPOP","M","2020-11",56.28989,
"COL","EMP","TOT","PC_WKGPOP","M","2019-11",65.01009,
"COL","EMP","TOT","PC_WKGPOP","M","2019-12",65.04858,
"COL","EMP","TOT","PC_WKGPOP","M","2020-01",64.73935,
"COL","EMP","TOT","PC_WKGPOP","M","2020-02",64.77518,
"COL","EMP","TOT","PC_WKGPOP","M","2020-03",60.81246,
"COL","EMP","TOT","PC_WKGPOP","M","2020-04",48.00909,
"COL","EMP","TOT","PC_WKGPOP","M","2020-05",50.65875,
"COL","EMP","TOT","PC_WKGPOP","M","2020-06",52.75114,
"COL","EMP","TOT","PC_WKGPOP","M","2020-07",53.55237,
"COL","EMP","TOT","PC_WKGPOP","M","2020-08",57.15442,
"COL","EMP","TOT","PC_WKGPOP","M","2020-09",58.41869,
"COL","EMP","TOT","PC_WKGPOP","M","2020-10",59.19257,
"COL","EMP","TOT","PC_WKGPOP","M","2020-11",60.05255,
"COL","EMP","TOT","PC_WKGPOP","M","2020-12",60.29749,
"RUS","EMP","TOT","PC_WKGPOP","M","2019-11",71.32532,
"RUS","EMP","TOT","PC_WKGPOP","M","2019-12",71.1747,
"RUS","EMP","TOT","PC_WKGPOP","M","2020-01",71.18118,
"RUS","EMP","TOT","PC_WKGPOP","M","2020-02",71.03609,
"RUS","EMP","TOT","PC_WKGPOP","M","2020-03",71.02122,
"RUS","EMP","TOT","PC_WKGPOP","M","2020-04",70.31918,
"RUS","EMP","TOT","PC_WKGPOP","M","2020-05",70.23037,
"RUS","EMP","TOT","PC_WKGPOP","M","2020-06",69.99348,
"RUS","EMP","TOT","PC_WKGPOP","M","2020-07",69.84879,
"RUS","EMP","TOT","PC_WKGPOP","M","2020-08",69.58098,
"RUS","EMP","TOT","PC_WKGPOP","M","2020-09",69.65942,
"RUS","EMP","TOT","PC_WKGPOP","M","2020-10",69.65269,
"RUS","EMP","TOT","PC_WKGPOP","M","2020-11",69.8158,
"RUS","EMP","TOT","PC_WKGPOP","M","2020-12",69.79218,
